رقم النسخة;العنوان;المؤلف;الناشر;السنة;مكان النشر;الطبعة;الشفرة
723;النظرية العامة للإلتزام : مصادر الإلتزام;أبو السعود،رمضان;دار المطبوعات الجامعية;2002;الإسكندرية;;347/614
724;الميراث : فب الفقه الاسلامي و قانون الاسرة الجزائري;محمد العمراني;المؤسسة الوطنية للاتصال النشر الاشهار;2000;الجزائر;;347/144
726;قانون الاجراءات المدنية : مدعم بالاجتهادات القضائية;دلاندة , يوسف;دار هومة;2001;الجزائر;;347/856
728;تشريع العمل في الجزائر : المدخل العام.النصوص القانونية;محمد الصغير بعلي;دار العلوم;2000;الجزائر;;342/116
730;قانون العمل : في ضوء الممارسة القضائية;;berti edition;2002;الجزائر;;347/857
735;اصول ممارسة مهنة المحاماة و فقا للقانون الجزائري;دلاندة , يوسف;دار الهدى;2000;الجزائر;ط.1;347/149
737;المحاماة فبي الجزائر : مهنة ومسؤولية;اسكندر , محمود توفيق;دار المحمدية العامة;1998;الجزائر;ط.1;347/150
738;اصول علم المواريث : قسم التركة بالطريقة الحسابية و بالقيراط;احمد عبد الجواد;دار الكتب العلمية;1998;لبنان;ط.1;250/297
742;قواعد و طرق الاثبات و مباشرتها في النظام القانوني الجزائري;الغوثي بن ملحة;الديوان الوطني للاشغال التربوية;2001;الجزائر;ط.1;347/152
744;الاستئناف : في المواد المدنية و التجارية;محمد نصر الدين كامل;منشاة المعارف;1993;الاسكندرية;;347/156
746;التملك بالتقادم على خلاف الثابت بالسجل العيني;سليم،عصام أنور;منشاة المعارف;2002;الاسكندرية;ط.2;347/153
747;الدعوى المدنية : في مرحلتها الابتدائية و الاستئنافية;عابدين،محمد أحمد;منشاة المعارف;1994;الاسكندرية;;347/154
749;تدويل العقد;طرح البحور على حسن فرج;منشاة المعارف;2000;الاسكندرية;ط.1;347/155
751;مجموعة الاحوال الشخصية في ضوء الفقه و القضاء;الشواربي , عبد الحميد;منشاة المعارف;2001;الاسكندرية;;111/346
753;الوجيز في الحقوق العينية الأصلية : أحكامها ومصادرها;أبو السعود،رمضان;دار المطبوعات الجامعية;2001;الإسكندرية;;347/84
769;اصول ممارسة مهنة المحاماة وفقا للقانون الجزائري;دلاندة , يوسف;دار الهدى;2000;الجزائر;ط.1;347/159
774;البحوث القانونية في مصادر الإلتزام الإرادية وغير الإرادية : دراسة فقهية وقضائية;عبد الرحمن,أحمد شوقي محمد;منشأة المعارف;2002;الإسكندرية;;347/164
780;الوسيط في حماية حقوق الملكية الفكرية;عرفة , السيد عبد الوهاب;دار المطبوعات الجامعية;2004;الاسكندرية;;347/185
785;الوسيط في شرح قانون االاجراءات المدنية;طاهري , حسين;دار ريحانة;;الجزائر;;347/161
788;قانون العمل : عقد العمل الفردي;محمود,محمد همام;دار الجامعة الجديدة;2009;الإسكندرية;;347/162
794;اصول قانون المرافعات المدنية و التجارية : دراسة في التنظيم القضائي و الاختصاص و الدعوى الخصومة و الحكم و الطعن فيه;هندي،أحمد;دار الجامعة الجديدة;2002;اللاسكندرية;;347/163
796;العقود الواردة على الملكية في القانون المدني;العمروسي , أنور;دار الفكر الجامعي;2002;الاسكندرية;;347/165
798;مدى المسؤولية المدنية عن الاخلال بالالتزام بالسر المهني او الوظيفي;عادل جبري محمد حبيب;دار الفكر الجامعي;2003;الاسكندرية;ط.1;347/166
801;: المسؤولية العقدية للمدين المحترف;عبد الرحمن,أحمد شوقي محمد;نشأة المعارف;2003;الإسكندرية;;347/168
802;الحقوق العينية التبعية : التامينات العينية في القانون المدني;العمروسي , أنور;منشاة المعارف;2003;الاسكندرية;;347/169
803;الدفع بعدم الاختصاص في المواد المدنية و التجارية;ابو سعد, محمد شتا;دار الفكر الجامعي;2003;الاسكندرية;;347/170
815;التوقيع الالكتروني و حجيته في الاثبات;الجنبيهى , منير محمد;دار الفكر الجامعي;2004;الاسكندرية;;347/171
821;المنازعات العقارية;زروقي ليلى;دار هومة;2003;الجزائر;;347/172
827;ضمان صلاحية المبيع للعمل مدة معلومة;منصور , محمد حسين;دار الجامعة الجديدة;2004;الاسكندرية;;347/173
829;شرح احكام عقد المقاولة : في ضوء الفقه و القضاء;محمد لبيب شنب;منشاة المعارف;2004;الاسكندرية;ط.1;347/174
831;القرائن القانونية و القضائية في المواد المدنية و الجنائية و الاحوال الشخصية;الشواربي , عبد الحميد;منشاة المعارف;2003;الاسكندرية;ط.1;347/176
835;التحكيم الاختياري و الاجباري في المنازعات المدنية و التجارية : في ضوء احدث مبادئ محكمة النقض و المحكمة الادارية العليا و المحكمة الادارية العليا و المحكمة الدستورية العليا;عوض,علي حسن;دار الفكر الجامعي;2004;الاسكندرية;ط.2;347/177
837;دعاوى الضمان في القانون المدني;العمروسي , أنور;منشاة المعارف;2004;الاسكندرية;ط.1;347/178
841;حجية الاوراق : الرسمية و العرفية و طرق الطعن عليها;محمد احمد عابدين;المكتب العربي الحديث;1990;الاسكندرية;;347/197
842;قانون براءات الاختراع : القانون 82لسنة 2002;سينوت حليم دوس;منشاة المعارف;2004;الاسكندرية;ط.1;347/180
844;تصرفات ناقص الاهلية المالية في القانون المدني الجزائري و الفقه الاسلامي;محمد سعيد جعفور;دار هومة;2002;الجزائر;;347/181
848;المسؤولية المدنية عن حوادث نقل الاشخاص بالسكك الحديدية : دراسة مقارنة في ضوء الفقه و القضاء;مختار رحماني محمد;دار هومة;2003;الجزائر;;347/182
850;التبادل الالكتروني للبيانات;الجنبيهى , منير محمد;دار الفكر الجامعي;2004;الاسكندرية;;347/183
853;المسؤولية التقصيرية و المسؤولية العقدية في القانون المدني : الاركان ,الجمع بينهما,التعويض;العمروسي , أنور;دار الفكر الجامعي;2004;الاسكندرية;ط.1;347/184
